
participant,condition,block,input,stimulus,timestamp,xmousex,ymousey,region,triggered
m,1,4,mouse,viruses,1448161999704,860,477,-1,0
m,1,4,mouse,viruses,1448161999804,860,477,-1,0
m,1,4,mouse,viruses,1448161999903,860,477,-1,0
m,1,4,mouse,viruses,1448162000004,1105,518,-1,0
m,1,4,mouse,viruses,1448162000104,1083,518,-1,0
m,1,4,mouse,viruses,1448162000204,1064,515,-1,0
m,1,4,mouse,viruses,1448162000304,1156,506,-1,0
m,1,4,mouse,viruses,1448162000405,1150,504,-1,0
m,1,4,mouse,viruses,1448162000505,1148,505,-1,0
m,1,4,mouse,viruses,1448162000605,1149,505,-1,0
m,1,4,mouse,viruses,1448162000705,1150,507,-1,0
m,1,4,mouse,viruses,1448162000804,1150,510,-1,0
m,1,4,mouse,viruses,1448162000906,1149,512,-1,0
m,1,4,mouse,viruses,1448162001005,1148,514,-1,0
m,1,4,mouse,viruses,1448162001105,1147,517,-1,0
m,1,4,mouse,viruses,1448162001205,1145,521,-1,0
m,1,4,mouse,viruses,1448162001305,1145,522,-1,0
m,1,4,mouse,viruses,1448162001406,1144,522,-1,0
m,1,4,mouse,viruses,1448162001505,1144,522,-1,0
m,1,4,mouse,viruses,1448162001606,1144,522,-1,0
m,1,4,mouse,viruses,1448162001706,1144,522,-1,0
m,1,4,mouse,viruses,1448162001806,1144,522,-1,0
m,1,4,mouse,viruses,1448162001905,1144,522,-1,0
m,1,4,mouse,viruses,1448162002005,1144,522,-1,0
m,1,4,mouse,viruses,1448162002106,818,481,-1,0
m,1,4,mouse,viruses,1448162002206,819,484,-1,0
m,1,4,mouse,viruses,1448162002305,628,474,5,1
m,1,4,mouse,viruses,1448162002406,673,474,-1,0
m,1,4,mouse,viruses,1448162002506,970,484,8,1
m,1,4,mouse,viruses,1448162002606,913,480,-1,0
m,1,4,mouse,viruses,1448162002706,666,475,-1,0
m,1,4,mouse,viruses,1448162002806,664,473,-1,0
m,1,4,mouse,viruses,1448162002905,877,485,-1,0
m,1,4,mouse,viruses,1448162003006,882,488,-1,0
m,1,4,mouse,viruses,1448162003106,882,488,-1,0
m,1,4,mouse,viruses,1448162003206,882,488,-1,0
m,1,4,mouse,viruses,1448162003306,882,488,-1,0
m,1,4,mouse,viruses,1448162003407,856,459,-1,0
m,1,4,mouse,viruses,1448162003508,848,447,-1,0
m,1,4,mouse,viruses,1448162003607,849,449,-1,0
m,1,4,mouse,viruses,1448162003707,755,384,-1,0
m,1,4,mouse,viruses,1448162003808,658,326,-1,0
m,1,4,mouse,viruses,1448162003907,656,317,-1,0
